Ref,Val,Package,PosX,PosY,Rot,Side
"C9","0.1uF","C_0402_1005Metric",-13.200000,-3.000000,90.000000,bottom
"C10","1uF","C_0402_1005Metric",-6.550000,-1.565000,90.000000,bottom
"J1","SYZYGY-STD","SYZYGY-STD-POD",-22.500000,-7.000000,180.000000,bottom
"R15","10K","R_0402_1005Metric",-13.900000,-1.300000,180.000000,bottom
"U2","ATtiny44A-MMH","QFN-20-1EP_3x3mm_P0.45mm_EP1.6x1.6mm",-10.479000,-2.800000,-90.000000,bottom
